Name	Abk�rzung	Kosten	Kraft	Schuss	Geschwindigkeit	Transport	Typ	Effekt/Erforschung	Hinweise
Kanonen	Kn	70S	30	"100S (4cm)
50S (6cm)"	1 / 2cm	0	gehend	"-Pferd kaufen: f�r 50G kann eine Kanone +2 / 2cm
-Profischie�pulver (Bringt +20S / Kostet 100S 1R)"	
Musketen	Mus	100G	60	"40S (4cm)
20S (6cm)"	4 / 6cm	20	gehend	-Profischie�pulver (Bringt +20S / Kostet 100S 1R)	
Himmelshandelsschiff	HHS	100H	30	-	- / 15cm	"200
+5E"	fliegend		
Fregatten	Fr	200H	200	100 (5cm)	- / 10cm	"50
+5E"	fliegend	-schwere Panzerung (Bringt +50K bei geg. Angriff / Kostet 200H)	
"Marinest�tzpunkt
Drachenh�hle
Himmelspiratennest"	"MS
DH
HN"	100H	100	-	-	-	Geb�ude	"-Ausbildung: -MS: Kn, Mus, HHS, Fr
-DH: alle Drachen (au�er Wasserdrachen)
-HN: Hsp, Rb, HHS"	
Gro�es Himmelspiratenschiff	Ghsp	1000H	500	1000S (5cm)	- / 10cm	"200
+10E"	fliegend	-Rudelf�hrer: Verst�rkt alle Hsp um 50K und 50S	
Lehmgolem	LG	200H 50S 100M	400	-	2 / 2cm	100	gehend	"-Betriebskosten: 10 Magie / R
-Fernsteuerung: Wenn sie gestorben sind, werden sie nach 5R wiedergeboren. M�ssen von Zauberer in Zaubererturm gesteuert werden; stirbt dieser, sterben sie auch. Kommen sie mit Wasser in Ber�hrung sterben sie"	" - Lehmr�stungsabr�stungsvertrag umgehen: zahle an jeden Spieler 1000G und du darfst ab sofort Lehmgolems ausbilden
Einheit wurde gebannt!"
Zaubererturm	Zt	50H 50M	50	-	-	-	Geb�ude	"-Betriebskosten: 10N
-Alles Neu: Z: k�nnen 100K/R heilen
Rm: k�nnen 2E vereisen
DZ: k�nnen 2E abschie�en"	- Wann tritt der Effekt in Kraft (?)
Magiegrenze	(?)	200M	-	-	-	-	Geb�ude	"-Betriebskosten: 50M pro 10cm
-Mauern: alle E in 2cm Umkreis -50K/R"	
Allosaurus	AL	80N 70G	120	-	6 / 8cm	50	gehend	-Biss: 1E in 2cm Umkreis -30K	
Peterardonreiter	Pt	100N	80	-	- / 20cm	20	fliegend		
Saltosaurierkatapult	SK	220N 100H	100	100S (20cm)	3 / 3cm	100	gehend		
Brachiotransporter	Btr	180N	150	-	4 / 5cm	"120
+5E"	gehend	-Brachioerdbeben: alle E in 3cm Umkreis -20K	
Hungerlungerritter	Hlr	50N 30H	60	-	9 / 12cm	20	gehend	-Adelstitel (Bringt +30K / Kostet 200H 100G 2R)	
Totenbeschw�rer	Tt	50N 100G	30	20S (5cm)	2 / 2cm	20	gehend	-Totembelebung: Eine E, die letzte R gestorben ist wird mit vollem Leben wiedererweckt und geh�rt zu dir. Wenn Totenbeschw�rer stirbt, sterben sie auch.	- In welchem Umkreis? (?)
Erzmagier	Em	200N 100G 100M	100	-	3 / 3cm	20	gehend	" -Zaubern: -Heilwelle: Kann 3E 50K heilen / Kostet 50M
-Erleuchtung: Kann eine E vom Gegner auf deine Seite wechseln lassen
-Blendung: Kann eine E nicht mehr schie�en lassen auf einem Feld
 -Ausweichen: Kann einem Geschoss/Angriff/Magieangriff ausweichen /  - Blitzgewitter: Im Uk von 10cm jeder geg. E. - 30K/ Kostet 100M"	
Ph�nix	Px	50G 150M	200	-	- / 13cm	0	fliegend	-Wiederbelebung: Wird nach 5R wiedergeboren. Kann dazwischen zerst�rt werden weil er in einem Ei mit 100K ist.	
Ringritter	Rr	300N 300G 200M	400	-	- / 20cm	30	fliegend	"-Fluchen: -Mannaentzug: Eine zaubernde E in 5cm Umkreis wird vom Gegner 100M f�r dich entzogen; du erh�ltst es
-Massentotenerweckung: 3 tote E werden wiedererweckt / Kostet 100M
-Verfall: eine E -100K die R / Kostet 20M
-Todeslicht: alle geg. E in 10cm Um"	
Drachenmagier	Dmg	300N 300G 200M	400	-	- / 20cm	30	fliegend	"-Zaubern: -Heilwelle: Kann 3E 50K heilen / Kostet 50M
-Erleuchtung: Kann eine E vom Gegner auf deine Seite wechseln lassen
-Blendung: Kann eine E nicht mehr schie�en lassen auf einem Feld
-Ausweichen: Kann einem Geschoss/Angriff/Magieangriff ausweichen / "	
Seeschlange von Arrabis		3000G	3000		20cm im Wasser	0	schwimmend/ Zaubernd	 - Hautwie1Betong: Immun gegen Magie. Kann 10 cm �ber Land anstatt �ber Wasser und errichtet dort auf dem Weg direkt Wassergr�ben. 	 - Ausbildung in der Zerstoerten Stadt
Balrock	B	3000G, 100M	2500	-	"4 / 5cm (B)
20cm Wasser (Schlange)"	0	gehend/ Zaubernd	 - Haut ist Lava: Immun gegen Magie und 30K Schaden in 10 cm Umkreis bei eigenen sowohl gegnerischen Einheiten.	 - Aubildung im Balrockaltar
Hacker	Hc	500G	50	-	3 / 3cm	10	gehend	"-Unsichtbar: unsichtbar
-Geb�ude/Fahrzeuge deaktivieren: 3 R keine Produktion/Bewegung (in 10cm Umkreis); Hacker wird sichtbar f�r 1R
-Hacken: +20G/R"	- Unn�tig? (?)
Zwergengoldgr�ber	Zgg	100G	20	-	3 / 3cm	50	gehend	"-Gold sch�rfen: k�nnen in der Unterwelt und an Bergen Gold sch�rfen +20G/R
-Gier (Bringt: sch�rfen 30G/R / Kostet 100G 5R)"	
Seraphime	Sph	500G	100	-	- / 15cm	20	fliegend	"-g�ttliche Vergeltung: F�r jede E (von dir) was in 5cm Umkreis von ihnen get�tet wurde erhalten sie f�r immer +20K
-himmlischer Glanz (Bringt: +20K / Kostet 400G)"	
Trampeldrachen	Td	600G	400	-	5 /10cm	"50
+30E"	gehend	"-Trampeln: k�nnen E (auch eigene) in 2cm Umkreis wegfetzen; Jede E -30K und sie fliegen 3 Felder weg"	
Palastwache des Zwergenk�nigs	Pzw	1000G	600	-	2 / 2cm	10	gehend	 -K�niglicher Schild: Macht eine Einheit in 5 cm Umkreis imnun gegen Schuss. Es kann nur eine Einheit gleichzeitig unter diesem Effekt stehen.	
Orkarmbrustsch�tzen	Oa	120G	50	40S (8cm)	6 / 6cm	30	gehend	"-Orkfett (Bringt +20K / Kostet 200G 2R)
-Elitearmbrust (Bringt +10S +5cm / Kostet 200H 2R)"	
Orkkriegsherren	Okh	500G	250	?	6 / 6cm	30	gehend	"-Orkfett (Bringt +20K / Kostet 200G 2R)
-Kriegsaxt (Bringt +20K / Kostet 200G 2R)"	
W�chterei	We	500G	200	-	- / -	-	Geb�ude	f	- Kann nur durch Orkkriegsherrn ausgebildet werden!
Orksklaventreiber	Ost	70G	40	-	 6 / 6cm	30	gehend	(?)	
Riesenspinnen	Rsp	100G	50	-	10 / 10cm	50	gehend	"-Verwachsen: K�nnen mit einem Ork verwachsen: Geschwindigkeit von Riesenspinne; Kraft zusammen +20K; beide Effekte; k�nnen sich auch wieder trennen
-Spinnennetze: Eine E wird 4R bewegungsunf�hig in 3cm Umkreis
-Giftnetze (Bringt: Alle eingesponnen E bekom"	
Keulentrolle	Kt	300G	200	-	5 / 4cm	50	gehend	"-Fl�chenschaden: trifft alle E auf einem Feld mit -20K
-Dunkeltrolle (Bringt +30K / Kostet 300G 2R)
-Steinblut (Bringt: bekommen nur H�lfte an Schussschaden / Kostet 600G 3R)"	
Moorleichen	ML	50G	10	-	2 / 2cm	10	gehend	"-Totenkraft: sind immun gegen Sch�sse und haben im Moor/Sumpf +20K
-Seuche (Bringt: K�nnen 1E/R verseuchen, jede R -10K; geg. E in 3cm Umkreis k�nnen angesteckt werden / Kostet 500G 2R)"	
G�lran Zhadar	GZ	2000G	1000	-	4 / 4cm	10	gehend	(?)	
Steinbei�er	SB	500G	100	-	5 / 5cm	50	gehend	(?)	
Twillo	Tw	2000G	500	-	5 / 4cm	20	gehend	"-Knidtle beschw�ren: Twillo's Teddy kann einer geg. E gegeben werden. Gegen diesen Gegner alle deine E +50K.
-Trolle opfern: Kann Trolle opfern um ihre K zu erhalten"	
